"","work","collection"
"41","1839_265_Кукольник Н. (изд.)_Новогодник, собрание сочинений в прозе и стихах, современных русских писателей изданный Н. Кукольником","fi_sl"
"42","1839_265_Кукольник Н. (изд.)_Новогодник, собрание сочинений в прозе и стихах, современных русских писателей изданный Н. Кукольником","spbgu"
"43","1839_266_NA_Розовый букет, составленный из лучших цветков русской поэзии: Золотой подарок для юных читателей. Ч. 1","nlr"
"44","1839_266_NA_Розовый букет, составленный из лучших цветков русской поэзии: Золотой подарок для юных читателей. Ч. 1","rsl"
"45","1839_266_NA_Розовый букет, составленный из лучших цветков русской поэзии: Золотой подарок для юных читателей. Ч. 1","us_harvard"
"46","1839_267_NA_Розовый букет, составленный из лучших цветков русской поэзии: Золотой подарок для юных читателей. Ч. 2","nlr"
"47","1839_267_NA_Розовый букет, составленный из лучших цветков русской поэзии: Золотой подарок для юных читателей. Ч. 2","rsl"
"48","1839_291_Бобылев Н.И._Невский альбом. Литературный сборник, издаваемый Николаем Бобылевым","rsl"
"49","1839_291_Бобылев Н.И._Невский альбом. Литературный сборник, издаваемый Николаем Бобылевым","cz_slk"
"50","1839_291_Бобылев Н.И._Невский альбом. Литературный сборник, издаваемый Николаем Бобылевым","spbgu"
"51","1839_292_NA_Опыты в Русской Словесности воспитанников Гимназии Белорусского Учебного Округа. Напечатанные по приказанию Г. Министра Народного Просвещения","nlr"
"52","1839_292_NA_Опыты в Русской Словесности воспитанников Гимназии Белорусского Учебного Округа. Напечатанные по приказанию Г. Министра Народного Просвещения","rsl"
"53","1839_293_NA_Одесский Альманах, на 1839 год","nlr"
"54","1839_293_NA_Одесский Альманах, на 1839 год","rsl"
"55","1839_293_NA_Одесский Альманах, на 1839 год","us_harvard"
"56","1839_294_NA_Одесский Альманах, на 1840 год","nlr"
"57","1839_294_NA_Одесский Альманах, на 1840 год","rsl"
"58","1839_294_NA_Одесский Альманах, на 1840 год","us_harvard"
"59","1839_294_NA_Одесский Альманах, на 1840 год","cz_slk"
"60","1840_315_Эртель В.А._Цветник русской литературы, содержащий в себе избранные образцы из русских классиков, расположенные в систематическом порядке","nlr"
"61","1840_315_Эртель В.А._Цветник русской литературы, содержащий в себе избранные образцы из русских классиков, расположенные в систематическом порядке","rsl"
"62","1840_315_Эртель В.А._Цветник русской литературы, содержащий в себе избранные образцы из русских классиков, расположенные в систематическом порядке","ee_ester"
"63","1840_318_Бобылев Н.И._Невский альбом, издаваемый Николаем Бобылевым. Год второй. Т. 1.","nlr"
"64","1840_318_Бобылев Н.И._Невский альбом, издаваемый Николаем Бобылевым. Год второй. Т. 1.","rsl"
"65","1840_318_Бобылев Н.И._Невский альбом, издаваемый Николаем Бобылевым. Год второй. Т. 1.","cz_slk"
"66","1840_331_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","nlr"
"67","1840_331_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","rsl"
"68","1840_331_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","us_harvard"
"69","1840_331_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","pl_bn"
"70","1840_331_Владиславлев В._Утренняя заря Альманах Владиславлева на 1840 год. 2-й год","ee_ester"
"71","1840_334_Максимович М._Киевлянин на 1840 год. Книга I. Изд. Михаил Максимович","nlr"
"72","1840_334_Максимович М._Киевлянин на 1840 год. Книга I. Изд. Михаил Максимович","rsl"
"73","1840_334_Максимович М._Киевлянин на 1840 год. Книга I. Изд. Михаил Максимович","cz_slk"
