"","work","collection"
"82","1837_174_Иноземцов П._Зальмара : [Повесть в стихах]","nlr"
"83","1837_174_Иноземцов П._Зальмара : [Повесть в стихах]","rsl"
"84","1837_174_Иноземцов П._Зальмара : [Повесть в стихах]","us_harvard"
"85","1837_174_Иноземцов П._Зальмара : [Повесть в стихах]","fi_sl"
"86","1837_177_Барышев Е._Еврей: Поэма","nlr"
"87","1837_177_Барышев Е._Еврей: Поэма","rsl"
"88","1837_188_Мысовский-Светогорский С._Вселенная и послание о уме человеческом : Поэма","nlr"
"89","1837_189_Орлов А.А._Померцающая луна или покорения Брамлова. Героическая песнь","nlr"
"90","1837_189_Орлов А.А._Померцающая луна или покорения Брамлова. Героическая песнь","rsl"
"91","1837_189_Орлов А.А._Померцающая луна или покорения Брамлова. Героическая песнь","cz_slk"
"92","1838_222_NA_Хаджибей : Стихотвор. повесть : (Напис. в 1829 г.)","nlr"
"93","1838_222_NA_Хаджибей : Стихотвор. повесть : (Напис. в 1829 г.)","rsl"
"94","1838_223_Бернет Е._Елена: Поэма","nlr"
"95","1838_223_Бернет Е._Елена: Поэма","rsl"
"96","1838_223_Бернет Е._Елена: Поэма","rozanov"
"97","1838_223_Бернет Е._Елена: Поэма","us_harvard"
"98","1838_223_Бернет Е._Елена: Поэма","cz_slk"
"99","1838_223_Бернет Е._Елена: Поэма","fi_sl"
"100","1838_223_Бернет Е._Елена: Поэма","spbgu"
"101","1838_225_NA_Сказка в стихах о Дадоне, или О том, как дурак сделался умным","nlr"
"102","1838_225_NA_Сказка в стихах о Дадоне, или О том, как дурак сделался умным","rsl"
"103","1838_226_И. Ч._Колдун : Старинная донская повесть : [В стихах]","nlr"
"104","1838_226_И. Ч._Колдун : Старинная донская повесть : [В стихах]","rsl"
"105","1838_227_Титов_Пасхальная лампа, поэма в двенадцати песнях","nlr"
"106","1838_227_Титов_Пасхальная лампа, поэма в двенадцати песнях","cz_slk"
"107","1838_227_Титов_Пасхальная лампа, поэма в двенадцати песнях","spbgu"
"108","1838_228_Фукс А._Царевна Несмеяна: Народная сказка, переложенная в стихи для 10-ти летнего читателя П.А. Жмакина.","spbgu"
"109","1838_236_NA_Сказка о Буре-Коровиче","nlr"
"110","1838_242_NA_Новобрачные, или Молодой часовой мастер и его жена : [Повесть] / 2-е изд.","nlr"
"111","1838_242_NA_Новобрачные, или Молодой часовой мастер и его жена : [Повесть] / 2-е изд.","rsl"
"112","1838_244_Поднебесный_Тальони-грация. Соч. Поднебесного","nlr"
"113","1838_244_Поднебесный_Тальони-грация. Соч. Поднебесного","rsl"
"114","1839_254_Волков А._Анна Дорзе: [Повесть в стихах]","nlr"
"115","1839_254_Волков А._Анна Дорзе: [Повесть в стихах]","rsl"
"116","1839_254_Волков А._Анна Дорзе: [Повесть в стихах]","rozanov"
"117","1839_260_Карамзин А._Борис Ульин : Повесть в стихах","nlr"
"118","1839_260_Карамзин А._Борис Ульин : Повесть в стихах","rsl"
"119","1839_260_Карамзин А._Борис Ульин : Повесть в стихах","rozanov"
"120","1839_260_Карамзин А._Борис Ульин : Повесть в стихах","us_harvard"
"121","1839_260_Карамзин А._Борис Ульин : Повесть в стихах","cz_slk"
"122","1839_260_Карамзин А._Борис Ульин : Повесть в стихах","fi_sl"
"123","1839_272_Дьячков С._Деньги : Комич. поэма","nlr"
"124","1839_272_Дьячков С._Деньги : Комич. поэма","rsl"
