text_ID	txt_raw	A_ID	Author_Initials	Text_title	First_line.x	PER_ID	Year	Vol	Num	Pages	Subtitle	Author_sign	Author_full_name	Author_birth	Author_death	RP_biography	first_line	Unnamed..0	path	author	dub	original	language	header	cyclus	liber	created	start	end	exact	sphere	genre_fi	audience_age	audience_level	audience_size	source	publication	publisher	publ_year	medium	subcorpus	meter	feet	clausula	strophe	gr_strophe	rhyme	formula	extra	verses	location	location_normalized	paths_tidy	diff	year	year_start	First_line.y
P_26	NA	A-11	Пушкин А.С.	Соловей	Соловей мой соловейко	БдЧ	1835	Т.9. Отд. 1	NA	22-23	Песни западных славян	А. Пушкин	Пушкин Александр Сергеевич	1799	1837	5	Соловеймойсоловейко	12692	xix/pushkin/pu3-353	А. С. Пушкин	NA	обощенный	сербский	Соловей : «Соловей мой, соловейко...»	Песни западных славян, 10		1834	1834	NA		художественная	стихотворение : песня : цикл : перевод	н-возраст	н-уровень	большая	Пушкин А. С. Полное собрание сочинений, 1837-1937: В 16 т. Т. 3		Изд-во АН СССР	1948-1949	книга	поэтический	Х	4	ж	0		0	Х4ж		23			texts_plain/xix/pushkin/pu3-353.txt	0	1834	1834	Соловеймойсоловейко
P_27	NA	A-11	Пушкин А.С.	Песня о Георгие Черном	Не два волка в овраге грызутся	БдЧ	1835	Т.9. Отд. 1	NA	23-24	Песни западных славян	А. Пушкин	Пушкин Александр Сергеевич	1799	1837	5	Недваволкавоврагегрызутся	12693	xix/pushkin/pu3-354	А. С. Пушкин	NA	П. Мериме	французский	Песня о Георгие Черном : «Не два волка в овраге грызутся...»	Песни западных славян, 11		1834	1834	NA		художественная	стихотворение : перевод : цикл	н-возраст	н-уровень	большая	Пушкин А. С. Полное собрание сочинений, 1837-1937: В 16 т. Т. 3				книга	поэтический	Ан, тонический : Тк	3	ж	0	вольная	0	Тк3ж Ак3ж	нарушения анакрусы	50			texts_plain/xix/pushkin/pu3-354.txt	0	1834	1834	Недваволкавоврагегрызутся
P_29	NA	A-11	Пушкин А.С.	Бурдалак	Трусоват был Ваня бедный	БдЧ	1835	Т.9. Отд. 1	NA	25-26	Песни западных славян	А. Пушкин	Пушкин Александр Сергеевич	1799	1837	5	ТрусоватбылВанябедный	12695	xix/pushkin/pu3-356	А. С. Пушкин	NA	П. Мериме	французский	Вурдалак : «Трусоват был Ваня бедный...»	Песни западных славян, 13		1834	1834	NA		художественная	стихотворение : перевод : цикл	н-возраст	н-уровень	большая	Пушкин А. С. Полное собрание сочинений, 1837-1937: В 16 т. Т. 3		Изд-во АН СССР	1948-1949	книга	поэтический	Х	4	регулярная : жм	4		перекрестная : абаб	Х4жм		20			texts_plain/xix/pushkin/pu3-356.txt	0	1834	1834	ТрусоватбылВанябедный
P_35	NA	A-50	Якубович Л.А.	Старый русский замок	Где волной сребряно-шумной	БдЧ	1835	Т.9. Отд. 1	NA	124-125	NA	Л. Якубович	Якубович Лукьян Андреевич	1805	1839	NA	Гдеволнойсребряношумной	1235	xix/1830/1830-196	Л. А. Якубович	NA			Старый русский замок : «Где волной сребряно-шумной...»			1834	1834	NA		художественная	стихотворение	н-возраст	н-уровень	большая	Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972					поэтический	Х	4	регулярная : жм	4		перекрестная : абаб	Х4жм		36			texts_plain/xix/1830/1830-196.txt	0	1834	1834	Гдеволнойсребряношумной
P_37	NA	A-143	Ершов П.П.	Прощание с Петербургом	Сокрылось солнце за Невою	БдЧ	1835	Т.9. Отд. 1	NA	117-120	NA	П. Ершов	Ершов Петр Павлович	1815	1869	2-239	СокрылосьсолнцезаНевою	4291	xix/ershov/ersh-021	П. П. Ершов	NA			Прощание с Петербургом : «Сокрылось солнце за Невою...»			1835	1835	NA		художественная	стихотворение	н-возраст	н-уровень	большая	Ершов П. П., Стихотворения	Москва		1989	книга	поэтический	Я	4	регулярная : жм	4	0	перекрестная : абаб	Я4жм		90			texts_plain/xix/ershov/ersh-021.txt	0	1835	1835	СокрылосьсолнцезаНевою
P_39	NA	A-143	Ершов П.П.	Русская песня	Уж не цвесть цветку в пустыне	БдЧ	1835	NA	NA	171-172	NA	П. Ершов	Ершов Петр Павлович	1815	1869	2-239	Ужнецвестьцветкувпустыне	4280	xix/ershov/ersh-010	П. П. Ершов	NA			Русская песня : «Уж не цвесть цветку в пустыне...»			1835	1835	NA		художественная	стихотворение : песня	н-возраст	н-уровень	большая	Ершов П. П., Стихотворения	Москва		1989	книга	поэтический	Х	4	регулярная : жм	4		перекрестная : абаб	Х4жм		20			texts_plain/xix/ershov/ersh-010.txt	0	1835	1835	Ужнецвестьцветкувпустыне
P_43	NA	A-143	Ершов П.П.	Первая любовь	Я понял, я знаю всю прелесть любви	БдЧ	1835	Т.11. Отд.1	NA	5-7	NA	П. Ершов	Ершов Петр Павлович	1815	1869	2-239	Японялязнаювсюпрелестьлюбви	4281	xix/ershov/ersh-011	П. П. Ершов	NA			Первая любовь : «Я понял, я знаю всю прелесть любви!..»			1835	1835	NA		художественная	стихотворение	н-возраст	н-уровень	большая	Ершов П. П., Стихотворения	Москва		1989	книга	поэтический	Аф	регулярная : 4+3	регулярная : мж	4		перекрестная : абаб	Аф4м+Аф3ж		60			texts_plain/xix/ershov/ersh-011.txt	0	1835	1835	Японялязнаювсюпрелестьлюбви
P_55	NA	A-150	Вяземский П.А.	Стихи, петые на обеде, данном И.А. Крылову	На радость полувековую	Сев_пч	1838	NA	52	127	NA	Кн. Вяземский	Вяземский Петр Андреевич	1792	1878	1-501	Нарадостьполувековую	15519	xix/vjazemskij/vjaz-166	П. А. Вяземский	NA			«На радость полувековую...»			1838.01	1838.01	NA		художественная	стихотворение	н-возраст	н-уровень	большая	П. А. Вяземский. Стихотворения. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1986	Стихотворения	Л., Советский писатель	1958	книга	поэтический	Я # Х	4	регулярная : жм	сложная : 4+4+4	8+4	перекрестная : абаб	Я4жм # Х4жм	полиметрия, рефрен	72			texts_plain/xix/vjazemskij/vjaz-166.txt	0	1838	1838	Нарадостьполувековую
P_61	NA	A-143	Ершов П.П.	Туча	Ходит туча в синем небе	БдЧ	1835	Т.12	NA	17-19	NA	П. Ершов	Ершов Петр Павлович	1815	1869	2-239	Ходиттучавсинемнебе	4282	xix/ershov/ersh-012	П. П. Ершов	NA			Туча : «Ходит туча в синем небе...»			1835	1835	NA		художественная	стихотворение	н-возраст	н-уровень	большая	Ершов П. П., Стихотворения	Москва		1989	книга	поэтический	Х	4	регулярная : жжм	6	3	сложная : хха хха	Х4жжм	белая строка	48			texts_plain/xix/ershov/ersh-012.txt	0	1835	1835	Ходиттучавсинемнебе
P_78	NA	A-143	Ершов П.П.	Семейство роз	Видали ль вы в долине сокровенной	БдЧ	1835	Т. 13	NA	163-168	NA	П. Ершов	Ершов Петр Павлович	1815	1869	2-239	Видалильвывдолинесокровенной	4290	xix/ershov/ersh-020	П. П. Ершов	NA			Семейство роз : «Видали ль вы в долине сокровенной...»			1835	1835	NA		художественная	стихотворение : элегия	н-возраст	н-уровень	большая	Ершов П. П., Стихотворения	Москва		1989	книга	поэтический	Я	вольная : 2,3,4,5,6	вольная : ж, м	0	вольная	вольная	Я2м, Я3,Я4,Я5,Я6ж,м		173			texts_plain/xix/ershov/ersh-020.txt	0	1835	1835	Видалильвывдолинесокровенной
