ID	type	DC	phys_ailable_in	A_ID	Author	Title	City	Printed_in (В тип. )	Year	ЦР	Notes	Olhin	См-Сок	Available_in	РГИА билет / Одобр. ЦИАМ
COL_174	alm		рнб	A-27	Пуговишников А.М.	Карманный песенник. Соч. А.П.	М.	Кирилова	1838		"Это издание (1838) отрецензировано в ОЗ.1839. Т. 5. Отд. 7. С. 47-48; еще есть рец. на Карманный песенник изд. А.А. М.: Кирилова, 1840: СО. 1840. Т. 5. Кн. 2. С. 359; акроним раскрыт по [Масанов: 1, 54]"				
COL_175	otd		рнб	A-85	Волков А.А.	Симонов монастырь: Стихотворение	М.	Смирнова	1838		"3 с. рец. ЛПРИ.1838. № 51. 17 дек. с. 1015; авторство установлено не точно (РП-1-463, Волков также указан в кат. рнб)"				
COL_203	alm		ргб			Памятник дружбы, для любителей альбомов, собранный из образцовых Русских, Немецких, Французских и Английских сочинений в стихах и прозе	СПб.	Крайя	1838			4358			
COL_204	alm		ргб			Сборник на 1838 год, составленный из литературных трудов: А.К. Бернета, В.А. Владиславлева, Князя П.А. Вяземского, А.Н. Глинкиной, Ф.Н. Глинки, Е.П. Гребенки, Э.И. Губера, П.И. Каменского, И.И. Козлова, А.В. Козлова, Ф.А. Кони, А.Ф. Кораблинского, Н.В. Кукольника, М.М. Михайлова, Князя В.Ф. Одоевского <и мн. других>	СПб.	Воейкова и Ко	1838		Это не то же самое, что “Альманах на 1838 год” ! (изд. Владиславлева, а это — Воейкова)	4363	465		
COL_217	sluch			A-86	Барановский В.	Портрет Д. А. И. Р. Л. Соч. Василья Барановского	Одесса	Городская тип.	1838			5549			
COL_218	otd		ргб	A-87	Поднебесный	Тальони-грация. Соч. Поднебесного	СПб.		1838		стихотворение, 3 с.	5582			
COL_88	col		unknown	A-88	Абрамовский С.	Стихотворения С. Абрамовского			1839						29.06.1839
COL_89	col		unknown	A-89	Андроников Н.	Часы уединения. Стихотворения Николая Андроникова			1839						21.07.1839
COL_90			ргб	A-90	Билевич Н.И.	Святочные вечера / Написаны Николаем Кунацким	СПб.	Фишера	1839		"проза?; выходили в неск. книгах с 1836"				07.03.1839
COL_91	col		ргб	A-91	Богданов Н.	Стихотворения Николая Богданова	М.	А. Семена	1839			5252			30.11.1839
COL_92	col		ргб	A-92	Горчаков В.Н.	Стихотворения Владислава Горчакова	М.	А. Семена	1839	23.05.1839		5260			24.05.1839
COL_93	col	Y	ргб	A-66	Демидов М.А.	АУ. Стихотворения М. Демидова	М.	А. Семена	1839	24.07.1838					
COL_94	otd		ргб	A-19	Жуковский В.А.	Бородинская годовщина	М.	Ун. тип	1839						28.08.1839
COL_95				A-93	Измайлов	Басни и сказки Измайлова	СПб.		1839		Посмертное издание				20.11.1838
COL_96	col	Y		A-94	Карманов Г. 	Стихотворения Г. Карманова	М.	Селивановского	1839	26.04.1838		5269			
COL_97				A-70	Костомаров	Стихотворения			1839		на укр. яз.				10.11.1839
COL_98	col	Y		A-96	Кульман Е.Б.	Полное собрание Русских, Немецких и Италиянских Стихотворений Елисаветы Кульман. Ч. 3. Пиитические опыты. Изд. 2-е	СПб.	Имп. Рос. Акад.	1839	21.12.1838	фото только для первой части 3 кн., во 2ой и 3ей частях не лирика, а сказки и поэма	5231			
COL_99	col		рнб	A-97	Медведенко Н.	Вадемекум. Стихотворения Н. Медведенко	М.	А. Семена	1839			5202			18.06.1839 (?)
COL_100	otd		ргб	A-55	Мысовский-Светогорский С. 	Мысль о бессмертии: [Стихотворение]	СПб.	Глазунова	1839			5597			
COL_101	col		unknown	A-98	Сапунов Н.	Стихотворения Н. Сапунова			1839						08.05.1839
COL_102	col		unknown	A-99	Тимковский П.	Стихотворения П[етра] Тимковского			1839						18.12.1839
				A-100	Толстая С.Ф. 	Сочинения в стихах и прозе Гр. С.Ф. Толстой	М.	Селивановского	1839		нет поэзии!				
COL_104	col	ргб		A-101	Шахова Е.Н.	Стихотворения Елизаветы Шаховой	СПб.	Имп. Рос. Акад.	1839		https://dlib.rsl.ru/viewer/01003560015#?page=1	5304			17.10.1839
COL_105	alm	Y				Новогодник, собрание сочинений в прозе и стихах, современных русских писателей изданный Н. Кукольником	СПб.	Изд. Энц. Лексик. А. Плюшара	1839	7.03.1839	https://dlib.rsl.ru/viewer/01003570598#?page=1	4353	468		
COL_106	det		ргб			Розовый букет, составленный из лучших цветков русской поэзии: Золотой подарок для юных читателей	СПб.	Сахарова	1839						09.12.1838
COL_107	sluch					Стихотворение на 26е декабря 1839 года	СПб.	Сахарова	1839						26.01.1839
COL_108	otd		ргб			Гробница на востоке: Полуоткрытая тайна: [Стихотворение]	М.	Смирнова	1839		ЦИАМ: От мещанина Бардни(?нрзб)			ргб	
COL_109			unknown			Букет: Собрание новых романсов (Рутинина?)			1839						09.01.1839
