,word,lemma
324,забрало,забрало
325,персты,перст
326,стрелою,стрела
327,женевы,женева
328,разливаясь,разливаться
329,достойный,достойный
330,забываю,забывать
331,скрыть,скрывать
332,прохлаждает,прохлаждать
333,страданья,страдание
334,будешь,быть
335,злой,злой
336,россов,росс
337,троп,тропа
338,пленяет,пленять
339,уединенно,уединенно
340,разлучился,разлучаться
341,являясь,являться
342,красот,красота
343,движенья,движение
344,виденьем,видение
345,фортуной,фортуна
346,боннета,боннет
347,занимала,занимать
348,прилетает,прилетать
349,пени,пеня
350,отгадал,отгадывать
351,пали,пасть
352,семена,семя
353,просит,просить
354,летучих,летучий
355,череда,череда
356,руки,рука
357,вперед,вперед
358,сияет,сиять
359,маяк,маяк
360,выше,высоко
361,она,она
362,ропот,ропот
363,тревог,тревога
364,строю,страивать
365,лень,лень
366,кольцами,кольцо
367,улыбнись,улыбаться
368,ногу,нога
369,грудь,грудь
370,кровавой,кровавый
371,пировал,пировать
372,чести,честь
373,огневой,огневой
374,военный,военный
375,променял,променивать
376,снаряжен,снаряжать
377,страстями,страсть
378,пустоту,пустота
379,торжествуя,торжествовать
380,трофеи,трофей
381,полях,поле
382,мечты,мечта
383,сладкой,сладкий
384,страстей,страсть
385,созданья,создание
386,стены,стена
387,времен,время
388,пировали,пировать
389,кровавый,кровавый
390,навещает,навещать
391,тенью,тень
392,облаков,облако
393,туч,туча
394,дыханье,дыхание
395,клик,клик
396,гробов,гроб
397,корнями,корень
398,алтари,алтарь
399,переходы,переход
400,дорогие,дорогой
401,витает,витать
402,крестом,крест
403,вековая,вековой
404,богом,бог
405,забав,забава
406,случайно,случайно
407,сладострастья,сладострастие
408,цену,цена
409,пиров,пир
410,боже,боже
411,подурнеть,подурнеть
412,белизною,белизна
413,загорят,загорать
414,продажно,продажный
415,красота,красота
416,просвещенья,просвещение
417,зовет,звать
418,дам,дама
419,пучина,пучина
420,живет,жить
421,денницы,денница
422,моей,мой
423,сверкало,сверкать
424,властелин,властелин
425,ударом,удар
426,сна,сон
427,ревом,рев
428,погасить,погасить
429,оков,оковы
430,громовым,громов
431,сливать,сливать
432,муках,мука
433,валов,вал
434,чужбины,чужбина
435,лесть,лесть
436,услада,услада
437,печали,печаль
438,весна,весна
439,дикой,дикий
440,богат,богатый
441,целом,целое
442,неволе,неволя
443,перо,перо
444,благосклонно,благосклонно
445,дома,дома
446,зимной,зимный
447,тень,тень
448,верен,верный
449,бостон,бостон
450,великой,великий
451,друзья,друг
452,расспрос,расспрос
453,начала,начинать
454,наяда,наяда
455,луч,луч
456,улетает,улетать
457,поешь,поесть
458,волненья,волнение
459,душистый,душистый
460,глаза,глаз
461,руками,рука
462,обетованный,обетованный
463,горишь,гореть
464,меня,я
465,горделивый,горделивый
466,вооруженный,вооруженный
467,любви,любовь
468,звезда,звезда
469,орлицей,орлица
470,твой,твой
471,зарница,зарница
472,полей,поле
473,равнодушно,равнодушно
474,ярем,ярем
475,развлекаясь,развлекаться
476,иссушит,иссушать
477,слезой,слеза
478,няни,няня
479,душою,душа
480,разорвав,разрывать
481,девице,девица
482,дней,день
483,рукою,рука
484,дорогой,дорогой
485,алмазной,алмазный
486,скучнее,скучно
487,тут,тут
488,прекрасной,прекрасный
489,улыбался,улыбаться
490,верил,верить
491,прекрасна,прекрасный
492,спросили,спрашивать
493,удаляюсь,удаляться
494,горизонт,горизонт
495,пробуждает,пробуждать
496,войнами,война
497,покоясь,покоиться
498,велик,большой
499,героям,герой
500,превышают,превышать
501,разящий,разящий
502,густые,густой
503,простоты,простота
504,вечным,вечный
505,цветут,цвести
506,вьются,виться
507,терпеливым,терпеливый
508,найдет,находить
509,градом,град
510,вскосматишь,вскосмачивать
511,домах,дом
512,стран,страна
513,владыки,владыка
514,вождей,вождь
515,споре,спор
516,волнах,волна
517,богу,бог
518,твердят,твердить
519,могилой,могила
520,небесах,небо
521,непреложным,непреложный
522,творца,творец
523,братски,братски
524,калек,калека
525,скорей,скоро
526,притянул,притягивать
527,сойдут,сходить
528,владею,владеть
529,гиена,гиена
530,бой,бой
531,поле,поле
532,равны,равный
533,горевать,горевать
534,вполне,вполне
535,лихой,лихой
536,дорогая,дорогой
537,табунам,табун
538,хвостом,хвост
539,встрепенется,встрепенуться
540,шатрами,шатер
541,моем,мой
542,бою,бой
543,моих,мой
544,сносит,сносить
545,мне,я
546,голодный,голодный
547,степей,степь
548,засадой,засада
549,облака,облако
550,глядят,глядеть
551,тяжело,тяжело
552,стая,стая
553,родник,родник
554,кругом,кругом
555,раскинув,раскидывать
556,поразить,поражать
557,мою,мой
558,налетят,налетать
559,созрел,созревать
560,гиены,гиена
561,прельщала,прельщать
562,молвой,молва
563,лук,лук
564,жен,жена
565,отдыхал,отдыхать
566,взмахнул,взмахивать
567,испить,испивать
568,вискам,висок
569,немой,немой
570,вершине,вершина
571,нежной,нежный
572,ветвями,ветвь
573,отвес,отвес
574,бог,бог
575,призванья,призвание
576,мгла,мгла
577,размышленья,размышление
578,знаток,знаток
579,смуглянку,смуглянка
580,речью,речь
581,подарит,подарить
582,зальется,заливаться
583,соловей,соловей
584,картины,картина
585,украдкой,украдкой
586,больно,больно
587,грот,грот
588,низ,низ
589,стремнин,стремнина
590,пят,пята
591,высоты,высота
592,седом,седой
593,дерн,дерн
594,хладна,хладный
595,скала,скала
596,судьбу,судьба
597,похорон,похороны
598,колоколов,колокол
599,погребли,погребать
600,слез,слезать
601,зная,знать
602,прожить,проживать
603,скажет,сказать
604,томлюся,томлюся
605,ищу,искать
606,гордецом,гордец
607,возможно,возможно
608,довершать,довершать
609,небе,небо
610,человек,человек
611,сединою,седина
612,ненавкус,ненавкус
613,отцветёт,отцветать
614,богатства,богатство
615,нужен,нужный
616,луну,луна
617,изобразить,изображать
618,гений,гений
619,людмила,людмила
620,перебегала,перебегать
621,отражался,отражаться
622,мертвец,мертвец
623,тумана,туман
624,устремив,устремлять
625,адельстан,адельстан
626,женою,жена
627,челнок,челнок
628,ясным,ясный
629,веял,веять
630,след,след
631,варвиком,варвик
632,реке,река
633,звал,звать
634,главами,глава
635,темноте,темнота
636,блестящий,блестящий
637,вершины,вершина
638,волн,волна
639,ждал,ждать
640,мститель,мститель
641,исчез,исчезать
642,миновался,миноваться
643,рекой,река
644,сила,сила
645,челноке,челнок
646,сияло,сиять
647,луна,луна
648,подымалась,подыматься
649,бор,бор
650,ужасном,ужасный
651,камень,камень
652,ночи,ночь
653,шатнулся,шатнуться
654,встал,вставать
655,помолился,помолиться
656,туманом,туман
657,вадим,вадим
658,полуночи,полночь
659,стену,стена
660,подают,подавать
661,спасены,спасать
662,рати,рать
663,мраке,мрак
664,спал,спать
665,пламенея,пламенеть
666,огнем,огонь
667,косматой,косматый
668,сверкал,сверкать
669,кони,конь
670,строй,строй
671,лучах,луч
672,истребленья,истребление
673,всегда,всегда
674,пленяла,пленять
675,родных,родные
676,природе,природа
677,благоухал,благоухать
678,ласкались,ласкаться
679,знало,знать
680,бедах,беда
681,засыпал,засыпать
682,бродит,бродить
683,крестам,крест
684,блещет,блистать
685,лучей,луч
686,туманы,туман
687,тени,тень
688,послушных,послушный
689,дума,дума
690,горит,гореть
691,пучины,пучина
692,проведет,проводить
693,летящей,лететь
694,пересчитать,пересчитывать
695,ленивой,ленивый
696,ночей,ночь
697,подглядели,подглядывать
698,ночном,ночной
699,любовались,любоваться
700,пролетало,пролетать
701,листах,лист
702,гостеприимной,гостеприимный
703,востока,восток
704,лучом,луч
705,усыпленью,усыпление
706,пешеход,пешеход
707,содроганье,содрогание
708,пруда,пруд
709,светило,светило
710,луной,луна
711,бродящий,бродить
712,ветерок,ветерок
713,рассыпалась,рассыпаться
714,глубине,глубина
715,непостижимо,непостижимо
716,жили,жить
717,мечтой,мечта
718,возвращено,возвращать
719,мановеньем,мановение
720,отжившим,отживать
721,прежде,прежде
722,неизменный,неизменный
723,земли,земля
724,землею,земля
725,любимой,любить
726,стороной,сторона
727,отдохнувший,отдыхать
728,страдал,страдать
729,ободрялся,ободряться
730,селенье,селение
731,луны,луна
732,страха,страх
733,лет,год
734,гробовым,гробовой
735,незабытой,незабытый
736,налетают,налетать
737,удары,удар
738,ношу,носить
739,больное,больной
740,изныла,изнывать
741,рыданье,рыдание
742,скорбей,скорбь
743,дядька,дядька
744,поближе,близко
745,ляжет,ложиться
