"review_id","source_id","review_source","score","location"
"R_363","C_142","CO","pos","1837. Ч. 186. № 15. С. 341-348"
"R_367","C_142","Sev_pchela","pos","1837. № 185. 19 авг. С. 737-740 -- П.П."
"R_368","C_142","BdCH","pos; но с уколами","1837. Т. 24. С. 4-6"
"R_375","C_143","Sev_pchela","???; скорее положительная","1837. № 128. 11 июн. С. 505-506 -- М."
"R_376","C_143","BdCH","neg","1837. Т. 23. С. 35-40"
"R_384","C_144","BdCH","neg","1836. Т. 19. С. 41-42; Т. 20. С. 38-39"
"R_392","C_145","BdCH","neg","1836. Т. 19. С. 41-42; Т. 20. С. 38-39"
"R_398","C_146","JMNP","pos","1839. Ч. 23. Отд. VI. С. 118"
"R_399","C_146","Sev_pchela","pos","1837. № 100. 7 мая. С. 397"
"R_400","C_146","BdCH","pos","1837. Т. 22. С. 4"
"R_406","C_148","JMNP","neg","1839. Ч. 23. Отд. VI. С. 125"
"R_407","C_148","Sev_pchela","neg","1837. № 142. 28 июн. С. 565-567 -- Р.М."
"R_408","C_148","BdCH","neg","1837. Т. 22. С. 5-6"
"R_416","C_149","BdCH","neg","1837. Т. 25. С. 50-51"
"R_423","C_153","Sev_pchela","neg","1837. № 188. 23 авг. С. 749 -- М."
"R_424","C_153","BdCH","neg; но отмечено и хорошее?","1837. Т. 23. С. 47-49"
"R_432","C_154","BdCH","neg","1837. Т. 25. С. 46-48"
"R_435","C_156","CO","pos","1837. Ч. 188. № 21. С. 60-68"
"R_438","C_156","JMNP","pos","1839. Ч. 23. Отд. VI. С. 118"
"R_439","C_156","Sev_pchela","pos","1837. № 166. 27 июл. С. 661-663 -- Р.М."
"R_440","C_156","BdCH","pos","1837. Т. 21. С. 36-39"
"R_443","C_159","CO","neg","1838. Т. 2. Отд. 4. С. 78"
"R_447","C_159","Sev_pchela","neg","1838. № 5. 7 янв. С. 19"
"R_448","C_159","BdCH","neg","1838. Т. 26. С. 1-2"
"R_454","C_160","JMNP","pos","1839. Ч. 23. Отд. VI. С. 118"
"R_456","C_160","BdCH","neg","1837. Т. 25. С. 48-50"
"R_459","C_161","CO","pos","1837. Ч. 185. № 11. С. 304-318"
"R_463","C_161","Sev_pchela","pos","1837. № 135. 19 июн. С. 537-540 -- Федор Кони"
"R_464","C_161","BdCH","pos?","1837. Т. 25. С. 43-46"
"R_467","C_163","CO","neg","1837. Ч. 184. № 7. С. 368-376"
"R_472","C_163","BdCH","pos","1837. Т. 21. С. 10-12"
