"","work","collection"
"75","1836_120_Кашкин Д._Сочинения Дмитрия Кашкина: В 3 т. Т. 1","rsl"
"76","1836_120_Кашкин Д._Сочинения Дмитрия Кашкина: В 3 т. Т. 1","rozanov"
"77","1836_124_Мейснер А._Стихотворения Алексея Мейснера","nlr"
"78","1836_124_Мейснер А._Стихотворения Алексея Мейснера","rsl"
"79","1836_124_Мейснер А._Стихотворения Алексея Мейснера","rozanov"
"80","1836_124_Мейснер А._Стихотворения Алексея Мейснера","us_harvard"
"81","1836_124_Мейснер А._Стихотворения Алексея Мейснера","cz_slk"
"82","1836_124_Мейснер А._Стихотворения Алексея Мейснера","fi_sl"
"83","1836_124_Мейснер А._Стихотворения Алексея Мейснера","spbgu"
"84","1836_127_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","nlr"
"85","1836_127_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","rsl"
"86","1836_127_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","cz_slk"
"87","1836_127_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","fi_sl"
"88","1836_127_Суханов М._Время не праздно. Стихотворения крестьянина М. Суханова","spbgu"
"89","1836_128_Суханов М._Мои сельские досуги","nlr"
"90","1836_128_Суханов М._Мои сельские досуги","rsl"
"91","1836_128_Суханов М._Мои сельские досуги","fi_sl"
"92","1836_128_Суханов М._Мои сельские досуги","spbgu"
"93","1836_129_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","nlr"
"94","1836_129_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","rsl"
"95","1836_129_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","rozanov"
"96","1836_129_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","fi_sl"
"97","1836_129_Тепляков В.Г._Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","spbgu"
"98","1836_130_Тростин Х._Стихотворения Христофора Тростина","nlr"
"99","1836_130_Тростин Х._Стихотворения Христофора Тростина","rsl"
"100","1836_130_Тростин Х._Стихотворения Христофора Тростина","rozanov"
"101","1836_134_NA_Мечты при луне. Стихотворения","nlr"
"102","1836_140_А. Ф. Ф._Роза и Василек. Соч. А.Ф.Ф.","nlr"
"103","1836_145_NA_Рукописи из зеленого портфеля","nlr"
"104","1836_145_NA_Рукописи из зеленого портфеля","cz_slk"
"105","1836_145_NA_Рукописи из зеленого портфеля","fi_sl"
