"","author","source","number_of_texts"
"134","Лермонтов М. Ю.","М. Ю. Лермонтов. Полное собрание сочинений: В 5 т. -- М. Л.: Academia, 1935-1937",474
"135","Ломан Н. Л.","Поэты «Искры». Библиотека поэта. -- Л.: Советский писатель, 1987",16
"136","Ломоносов М. В.","М. В. Ломоносов. Избранные произведения. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1986",101
"137","Львов Н. А.","Н. А. Львов. Избранные сочинения. -- Кёльн, Веймар, Вена: Бёлау-ферлаг, 1994",195
"138","Львов Ф. П.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",3
"139","Магницкая Н. Л.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",3
"140","Магницкий М. Л.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",9
"141","Майков А. Н.","А. Н. Майков. Избранные произведения. Библиотека поэта. Большая серия. Второе издание. -- Л.: Советский писатель, 1977",419
"142","Майков В. И.","В. И. Майков. Избранные произведения. Библиотека поэта. Большая серия. -- М.-Л.: Советский писатель, 1966",112
"143","Масальский К. П.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",21
"144","Мей Л. А.","Мей Л. А. Стихотворения",222
"145","Мерзляков А. Ф.","А. Ф. Мерзляков. Стихотворения и поэмы. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1958",67
"146","Мерзляков А. Ф.","Поэзия небес. Выпуск второй. Том I. -- СПб.: Библия для всех, 2001",7
"147","Мещевский А. И.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",12
"148","Миллер Ф. Б.","Поэты 1840-1850-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",10
"149","Милонов М. В.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",30
"150","Милькеев Е. Л.","Поэты 1840-1850-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",12
"151","Минаев Д. Д.","Поэты «Искры». Библиотека поэта. Большая серия. Издание третье. -- Л.: Советский писатель, 1985«",89
"152","Михайлов М. Л.","М. Л. Михайлов. Стихотворения. Библиотека поэта. -- М.: Советский писатель, 1969",218
"153","Модестов Ф.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",3
"154","Можайский И. П.","Поэты 1860-х годов. Библиотека поэта. Третье издание. -- Л.: Советский писатель, 1968",3
"155","Москотильников С. А.","Поэты-радищевцы. Библиотека поэта. -- Л., Советский писатель, 1979",3
"156","Муравьев А. Н.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",12
"157","Муравьев М. Н.","М. Н. Муравьев. Стихотворения. Библиотека поэта. Большая серия. -- М.-Л.: Советский писатель, 1967",206
"158","Мятлев И. П.","И. П. Мятлев. Стихотворения. Библиотека поэта. -- Л.: Советский писатель, 1969",114
"159","Навроцкий А. А.","Поэты 1860-х годов. Библиотека поэта. Третье издание. -- Л.: Советский писатель, 1968",2
"160","Нартов А. А.","Поэты XVIII века. Библиотека поэта. -- Л., Советский писатель, 1972",1
"161","Нартов А. А.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",5
"162","Нарышкин А. В.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",2
"163","Нарышкин С. В.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",3
"164","Нахимов А. Н.","",83
"165","Неизвестный","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",2
"166","Неизвестный","Поэты XVIII века. Библиотека поэта. -- Л., Советский писатель, 1972",51
"167","Неизвестный","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",12
"168","Некрасов Н. А.","Н. А. Некрасов. Полное собрание стихотворений: В 3 тт. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1967",356
"169","Нелединский-Мелецкий Ю. А.","Поэты XVIII века. Библиотека поэта. -- Л., Советский писатель, 1972",35
"170","Нечаев С. Д.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",8
"171","Никитин И. С.","И. С. Никитин. Полное собрание стихотворений. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1965",231
"172","Николев Н. П.","Поэзия небес. Выпуск второй. Том I. -- СПб.: Библия для всех, 2001",31
"173","Николев Н. П.","Поэты XVIII века. Библиотека поэта. -- Л., Советский писатель, 1972",26
"174","Норов А. С.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",10
"175","Ободовский П. Г.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",10
"176","Огарев Н. П.","Н. П. Огарев. Стихотворения и поэмы. Библиотека поэта. Большая серия. -- М.: Советский писатель, 1956",164
"177","Одоевский А. И.","А. И. Одоевский. Полное собрание стихотворений. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1958",76
"178","Озеров В. А.","Русская басня XVIII-XIX веков. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1977",6
"179","Ознобишин Д. П.","Поэзия небес. Выпуск второй. Том I. -- СПб.: Библия для всех, 2001",6
"180","Ознобишин Д. П.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",41
"181","Олешев М.","Поэты-радищевцы. Библиотека поэта. -- Л., Советский писатель, 1979",6
"182","Олин В. Н.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",10
"183","Орлов Я. В.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",9
"184","Остолопов Н. Ф.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",5
"185","Остолопов Н. Ф.","Поэты-радищевцы. Библиотека поэта. -- Л., Советский писатель, 1979",24
"186","Павлова К. К.","Каролина Павлова. Полное собрание стихотворений. -- Библиотека поэта. Большая серия. -- Москва, Ленинград: Советский писатель, 1964",59
"187","Пальм А. И.","Поэты-петрашевцы. Библиотека поэта. Третье издание. -- М.-Л.: Советский писатель, 1966",17
"188","Пальмин Л. И.","Поэты 1860-х годов. Библиотека поэта. Третье издание. -- Л.: Советский писатель, 1968",9
"189","Панаев В. И.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",9
"190","Панаев И. И.","Поэты 1840-1850-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",21
"191","Пельский П. А.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",5
"192","Пестов С. С.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",2
"193","Петров В. П.","Поэты XVIII века. Библиотека поэта. -- Л., Советский писатель, 1972",15
"194","Печерин В. С.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",23
"195","Писарев А. А.","Поэты-радищевцы. Библиотека поэта. -- Л., Советский писатель, 1979",5
"196","Плетнев П. А.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",22
"197","Плещеев А. Н.","А. Н. Плещеев. Полное собрание стихотворений. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1964",216
"198","Пнин И. П.","И. Пнин. Сочинения. -- М.: Издательство всесоюзного общества политкаторжан и ссыльно-поселенцев, 1934",44
"199","Подолинский А. И.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",33
"200","Полежаев А. И.","А. Полежаев. Стихотворения и поэмы. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1957",137
"201","Политковский Н. Р.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",2
"202","Политковский П. С.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",5
"203","Полонский Я. П.","Я. П. Полонский. Стихотворения. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1954",78
"204","Попов М. И.","Поэты XVIII века. Библиотека поэта. -- Л., Советский писатель, 1972",42
"205","Поповский Н. Н.","Поэты XVIII века. Библиотека поэта. -- Л., Советский писатель, 1972",17
"206","Поповский Н. Н.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",2
"207","Попугаев В. В.","Поэты-радищевцы. Библиотека поэта. -- Л., Советский писатель, 1979",37
