"","id","COL_ID","poetry_prose","book_type","genre","special_tag","author_sign","author","author_full_name","title","city","publisher","year","pages","size_fold","size_cm","digital_copy","digital_copy_URL","group","group_abbr","group_eng","A_ID"
"20",75,"COL_9","v","col","lyr","","Меркли М.","Меркли М.М.","Меркли Михаил Маркович","Стихотворения Михаила Меркли","М.","Степанова",1835,108,"8",22,"","drive/photos/1510","Сборники стихотворений","col_lyr","Lyric collections","A_9"
"21",78,"COL_10","v","col","lyr","","Мятлев И.П.","Мятлев И.П.","Мятлев Иван Петрович","Собрание стихотворений","СПб.","Гинце",1835,79,"",22,"archive.org","https://archive.org/details/polnoesobranies1v2miat/page/n5/mode/2up ","Сборники стихотворений","col_lyr","Lyric collections","A_10"
"22",79,NA,"v","col","lyr; nar","","Пушкин А.С.","Пушкин А.С.","Пушкин Александр Сергеевич","Поэмы и повести Александра Пушкина. Ч. 1.","СПб.","Смирдина",1835,232,"",20,"ЧБ","https://books.google.com/books?id=rNhdAAAAcAAJ&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_11"
"23",80,NA,"v","col","lyr; nar","","Пушкин А.С.","Пушкин А.С.","Пушкин Александр Сергеевич","Поэмы и повести Александра Пушкина. Ч. 2.","СПб.","Смирдина",1835,221,"",20,"ЧБ","https://books.google.cz/books?vid=NKP:3186164848-001&printsec=frontcover#v=onepage&q&f=false","Сборники стихотворений","col_lyr","Lyric collections","A_11"
"24",81,"COL_11","v","col","lyr","","Пушкин А.С.","Пушкин А.С.","Пушкин Александр Сергеевич","Стихотворения Александра Пушкина. Ч. 4.","СПб.","Акад. наук",1835,189,"",20,"ЧБ","https://books.google.cz/books?vid=NKP:3186164847&printsec=frontcover#v=onepage&q&f=false","Сборники стихотворений","col_lyr","Lyric collections","A_11"
"25",82,"COL_12","v","col","lyr","","Риль Ю.","Риль Ю.","","Четыре русских песни / С аккомп. ф-п. посвященные Ее Сиятельству Графине Наталье Павловне Строгоновой Ю. Рилем.","СПб.","Пеца",1835,11,"",NA,"","drive/natasha","Сборники стихотворений","col_lyr","Lyric collections","A_12"
"26",84,"COL_14","v","col","lyr","","","Савурский Н.","Савурский Николай","Весенняя ветка. Стихотворения","СПб.","Крыловского",1835,70,"",20,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000934&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_14"
"27",900,NA,"v","col","lyr","","Семенов П.","Семенов П.","Семенов Платон","Минуты благоговения. Соч. Платона Семенова","СПб.","Плюшара",1835,29,"",NA,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000897&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_297"
"28",85,"COL_15","v","col","lyr","","Т-м-ф-в","Тимофеев А.В.","Тимофеев Алексей Васильевич","Песни: В 2 ч.","СПб.","Гинце",1835,178,"",20,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000973&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_15"
"29",86,"COL_16","v","sep","lyr","","Топчибашев М. Д.","Топчибашев М. Д.","Топчибашев Мирза Джафар","На памятник Императору Александру I. Два стихотворения на Персидском и турецком языках Мирзы Джафара Топчибашева","СПб.","Акад. наук",1835,7,"",26,"РГБ","https://dlib.rsl.ru/01003570203 ","Отд. стихотворения","sep_lyr","Lyric booklets","A_16"
"30",690,NA,"v","sep","lyr","","Хвостов Д.","Хвостов Д. И.","Хвостов Дмитрий Иванович","А... Л...... О...... ой 1835 года июля 26 дня","СПб.","Вингебера",1835,1,"",22,"","","Отд. стихотворения","sep_lyr","Lyric booklets","A_299"
